column,dtype,missing_count,missing_pct
ehail_fee,float64,1417684,100.0
cbd_congestion_fee,float64,664042,46.84
trip_type,float64,98122,6.921
RatecodeID,float64,97991,6.912
congestion_surcharge,float64,97991,6.912
passenger_count,float64,97991,6.912
payment_type,float64,97991,6.912
store_and_fwd_flag,str,97991,6.912
DOLocationID,int32,0,0.0
PULocationID,int32,0,0.0
VendorID,int32,0,0.0
extra,float64,0,0.0
fare_amount,float64,0,0.0
improvement_surcharge,float64,0,0.0
lpep_dropoff_datetime,datetime64[us],0,0.0
lpep_pickup_datetime,datetime64[us],0,0.0
mta_tax,float64,0,0.0
pickup_date,object,0,0.0
pickup_hour,int32,0,0.0
source_month,int64,0,0.0
source_period,str,0,0.0
source_year,int64,0,0.0
tip_amount,float64,0,0.0
tolls_amount,float64,0,0.0
total_amount,float64,0,0.0
trip_distance,float64,0,0.0
trip_duration_minutes,float64,0,0.0
