period,year,month,path,file_size_bytes,row_count,column_count,columns
2024-01,2024,1,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-01.parquet,1362284,56551,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-02,2024,2,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-02.parquet,1283805,53577,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-03,2024,3,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-03.parquet,1372372,57457,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-04,2024,4,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-04.parquet,1346502,56471,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-05,2024,5,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-05.parquet,1453912,61003,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-06,2024,6,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-06.parquet,1326194,54748,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-07,2024,7,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-07.parquet,1250973,51837,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-08,2024,8,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-08.parquet,1267079,51771,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-09,2024,9,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-09.parquet,1326186,54440,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-10,2024,10,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-10.parquet,1353731,56147,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-11,2024,11,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-11.parquet,1264688,52222,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2024-12,2024,12,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2024\green_tripdata_2024-12.parquet,1312306,53994,20,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge"
2025-01,2025,1,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2025\green_tripdata_2025-01.parquet,1178451,48326,21,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge, cbd_congestion_fee"
2025-02,2025,2,C:\Users\Asus\Documents\MLOPS Project\mlops-project\data\01_raw\green_taxi\2025\green_tripdata_2025-02.parquet,1117474,46621,21,"VendorID, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, RatecodeID, PULocationID, DOLocationID, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge, cbd_congestion_fee"
