period,year,month,column,dtype
2024-01,2024,1,VendorID,int32
2024-01,2024,1,lpep_pickup_datetime,timestamp[us]
2024-01,2024,1,lpep_dropoff_datetime,timestamp[us]
2024-01,2024,1,store_and_fwd_flag,large_string
2024-01,2024,1,RatecodeID,int64
2024-01,2024,1,PULocationID,int32
2024-01,2024,1,DOLocationID,int32
2024-01,2024,1,passenger_count,int64
2024-01,2024,1,trip_distance,double
2024-01,2024,1,fare_amount,double
2024-01,2024,1,extra,double
2024-01,2024,1,mta_tax,double
2024-01,2024,1,tip_amount,double
2024-01,2024,1,tolls_amount,double
2024-01,2024,1,ehail_fee,double
2024-01,2024,1,improvement_surcharge,double
2024-01,2024,1,total_amount,double
2024-01,2024,1,payment_type,int64
2024-01,2024,1,trip_type,int64
2024-01,2024,1,congestion_surcharge,double
2024-02,2024,2,VendorID,int32
2024-02,2024,2,lpep_pickup_datetime,timestamp[us]
2024-02,2024,2,lpep_dropoff_datetime,timestamp[us]
2024-02,2024,2,store_and_fwd_flag,large_string
2024-02,2024,2,RatecodeID,int64
2024-02,2024,2,PULocationID,int32
2024-02,2024,2,DOLocationID,int32
2024-02,2024,2,passenger_count,int64
2024-02,2024,2,trip_distance,double
2024-02,2024,2,fare_amount,double
2024-02,2024,2,extra,double
2024-02,2024,2,mta_tax,double
2024-02,2024,2,tip_amount,double
2024-02,2024,2,tolls_amount,double
2024-02,2024,2,ehail_fee,double
2024-02,2024,2,improvement_surcharge,double
2024-02,2024,2,total_amount,double
2024-02,2024,2,payment_type,int64
2024-02,2024,2,trip_type,int64
2024-02,2024,2,congestion_surcharge,double
2024-03,2024,3,VendorID,int32
2024-03,2024,3,lpep_pickup_datetime,timestamp[us]
2024-03,2024,3,lpep_dropoff_datetime,timestamp[us]
2024-03,2024,3,store_and_fwd_flag,large_string
2024-03,2024,3,RatecodeID,int64
2024-03,2024,3,PULocationID,int32
2024-03,2024,3,DOLocationID,int32
2024-03,2024,3,passenger_count,int64
2024-03,2024,3,trip_distance,double
2024-03,2024,3,fare_amount,double
2024-03,2024,3,extra,double
2024-03,2024,3,mta_tax,double
2024-03,2024,3,tip_amount,double
2024-03,2024,3,tolls_amount,double
2024-03,2024,3,ehail_fee,double
2024-03,2024,3,improvement_surcharge,double
2024-03,2024,3,total_amount,double
2024-03,2024,3,payment_type,int64
2024-03,2024,3,trip_type,int64
2024-03,2024,3,congestion_surcharge,double
2024-04,2024,4,VendorID,int32
2024-04,2024,4,lpep_pickup_datetime,timestamp[us]
2024-04,2024,4,lpep_dropoff_datetime,timestamp[us]
2024-04,2024,4,store_and_fwd_flag,large_string
2024-04,2024,4,RatecodeID,int64
2024-04,2024,4,PULocationID,int32
2024-04,2024,4,DOLocationID,int32
2024-04,2024,4,passenger_count,int64
2024-04,2024,4,trip_distance,double
2024-04,2024,4,fare_amount,double
2024-04,2024,4,extra,double
2024-04,2024,4,mta_tax,double
2024-04,2024,4,tip_amount,double
2024-04,2024,4,tolls_amount,double
2024-04,2024,4,ehail_fee,double
2024-04,2024,4,improvement_surcharge,double
2024-04,2024,4,total_amount,double
2024-04,2024,4,payment_type,int64
2024-04,2024,4,trip_type,int64
2024-04,2024,4,congestion_surcharge,double
2024-05,2024,5,VendorID,int32
2024-05,2024,5,lpep_pickup_datetime,timestamp[us]
2024-05,2024,5,lpep_dropoff_datetime,timestamp[us]
2024-05,2024,5,store_and_fwd_flag,large_string
2024-05,2024,5,RatecodeID,int64
2024-05,2024,5,PULocationID,int32
2024-05,2024,5,DOLocationID,int32
2024-05,2024,5,passenger_count,int64
2024-05,2024,5,trip_distance,double
2024-05,2024,5,fare_amount,double
2024-05,2024,5,extra,double
2024-05,2024,5,mta_tax,double
2024-05,2024,5,tip_amount,double
2024-05,2024,5,tolls_amount,double
2024-05,2024,5,ehail_fee,double
2024-05,2024,5,improvement_surcharge,double
2024-05,2024,5,total_amount,double
2024-05,2024,5,payment_type,int64
2024-05,2024,5,trip_type,int64
2024-05,2024,5,congestion_surcharge,double
2024-06,2024,6,VendorID,int32
2024-06,2024,6,lpep_pickup_datetime,timestamp[us]
2024-06,2024,6,lpep_dropoff_datetime,timestamp[us]
2024-06,2024,6,store_and_fwd_flag,large_string
2024-06,2024,6,RatecodeID,int64
2024-06,2024,6,PULocationID,int32
2024-06,2024,6,DOLocationID,int32
2024-06,2024,6,passenger_count,int64
2024-06,2024,6,trip_distance,double
2024-06,2024,6,fare_amount,double
2024-06,2024,6,extra,double
2024-06,2024,6,mta_tax,double
2024-06,2024,6,tip_amount,double
2024-06,2024,6,tolls_amount,double
2024-06,2024,6,ehail_fee,double
2024-06,2024,6,improvement_surcharge,double
2024-06,2024,6,total_amount,double
2024-06,2024,6,payment_type,int64
2024-06,2024,6,trip_type,int64
2024-06,2024,6,congestion_surcharge,double
2024-07,2024,7,VendorID,int32
2024-07,2024,7,lpep_pickup_datetime,timestamp[us]
2024-07,2024,7,lpep_dropoff_datetime,timestamp[us]
2024-07,2024,7,store_and_fwd_flag,large_string
2024-07,2024,7,RatecodeID,int64
2024-07,2024,7,PULocationID,int32
2024-07,2024,7,DOLocationID,int32
2024-07,2024,7,passenger_count,int64
2024-07,2024,7,trip_distance,double
2024-07,2024,7,fare_amount,double
2024-07,2024,7,extra,double
2024-07,2024,7,mta_tax,double
2024-07,2024,7,tip_amount,double
2024-07,2024,7,tolls_amount,double
2024-07,2024,7,ehail_fee,double
2024-07,2024,7,improvement_surcharge,double
2024-07,2024,7,total_amount,double
2024-07,2024,7,payment_type,int64
2024-07,2024,7,trip_type,int64
2024-07,2024,7,congestion_surcharge,double
2024-08,2024,8,VendorID,int32
2024-08,2024,8,lpep_pickup_datetime,timestamp[us]
2024-08,2024,8,lpep_dropoff_datetime,timestamp[us]
2024-08,2024,8,store_and_fwd_flag,large_string
2024-08,2024,8,RatecodeID,int64
2024-08,2024,8,PULocationID,int32
2024-08,2024,8,DOLocationID,int32
2024-08,2024,8,passenger_count,int64
2024-08,2024,8,trip_distance,double
2024-08,2024,8,fare_amount,double
2024-08,2024,8,extra,double
2024-08,2024,8,mta_tax,double
2024-08,2024,8,tip_amount,double
2024-08,2024,8,tolls_amount,double
2024-08,2024,8,ehail_fee,double
2024-08,2024,8,improvement_surcharge,double
2024-08,2024,8,total_amount,double
2024-08,2024,8,payment_type,int64
2024-08,2024,8,trip_type,int64
2024-08,2024,8,congestion_surcharge,double
2024-09,2024,9,VendorID,int32
2024-09,2024,9,lpep_pickup_datetime,timestamp[us]
2024-09,2024,9,lpep_dropoff_datetime,timestamp[us]
2024-09,2024,9,store_and_fwd_flag,large_string
2024-09,2024,9,RatecodeID,int64
2024-09,2024,9,PULocationID,int32
2024-09,2024,9,DOLocationID,int32
2024-09,2024,9,passenger_count,int64
2024-09,2024,9,trip_distance,double
2024-09,2024,9,fare_amount,double
2024-09,2024,9,extra,double
2024-09,2024,9,mta_tax,double
2024-09,2024,9,tip_amount,double
2024-09,2024,9,tolls_amount,double
2024-09,2024,9,ehail_fee,double
2024-09,2024,9,improvement_surcharge,double
2024-09,2024,9,total_amount,double
2024-09,2024,9,payment_type,int64
2024-09,2024,9,trip_type,int64
2024-09,2024,9,congestion_surcharge,double
2024-10,2024,10,VendorID,int32
2024-10,2024,10,lpep_pickup_datetime,timestamp[us]
2024-10,2024,10,lpep_dropoff_datetime,timestamp[us]
2024-10,2024,10,store_and_fwd_flag,large_string
2024-10,2024,10,RatecodeID,int64
2024-10,2024,10,PULocationID,int32
2024-10,2024,10,DOLocationID,int32
2024-10,2024,10,passenger_count,int64
2024-10,2024,10,trip_distance,double
2024-10,2024,10,fare_amount,double
2024-10,2024,10,extra,double
2024-10,2024,10,mta_tax,double
2024-10,2024,10,tip_amount,double
2024-10,2024,10,tolls_amount,double
2024-10,2024,10,ehail_fee,double
2024-10,2024,10,improvement_surcharge,double
2024-10,2024,10,total_amount,double
2024-10,2024,10,payment_type,int64
2024-10,2024,10,trip_type,int64
2024-10,2024,10,congestion_surcharge,double
2024-11,2024,11,VendorID,int32
2024-11,2024,11,lpep_pickup_datetime,timestamp[us]
2024-11,2024,11,lpep_dropoff_datetime,timestamp[us]
2024-11,2024,11,store_and_fwd_flag,large_string
2024-11,2024,11,RatecodeID,int64
2024-11,2024,11,PULocationID,int32
2024-11,2024,11,DOLocationID,int32
2024-11,2024,11,passenger_count,int64
2024-11,2024,11,trip_distance,double
2024-11,2024,11,fare_amount,double
2024-11,2024,11,extra,double
2024-11,2024,11,mta_tax,double
2024-11,2024,11,tip_amount,double
2024-11,2024,11,tolls_amount,double
2024-11,2024,11,ehail_fee,double
2024-11,2024,11,improvement_surcharge,double
2024-11,2024,11,total_amount,double
2024-11,2024,11,payment_type,int64
2024-11,2024,11,trip_type,int64
2024-11,2024,11,congestion_surcharge,double
2024-12,2024,12,VendorID,int32
2024-12,2024,12,lpep_pickup_datetime,timestamp[us]
2024-12,2024,12,lpep_dropoff_datetime,timestamp[us]
2024-12,2024,12,store_and_fwd_flag,large_string
2024-12,2024,12,RatecodeID,int64
2024-12,2024,12,PULocationID,int32
2024-12,2024,12,DOLocationID,int32
2024-12,2024,12,passenger_count,int64
2024-12,2024,12,trip_distance,double
2024-12,2024,12,fare_amount,double
2024-12,2024,12,extra,double
2024-12,2024,12,mta_tax,double
2024-12,2024,12,tip_amount,double
2024-12,2024,12,tolls_amount,double
2024-12,2024,12,ehail_fee,double
2024-12,2024,12,improvement_surcharge,double
2024-12,2024,12,total_amount,double
2024-12,2024,12,payment_type,int64
2024-12,2024,12,trip_type,int64
2024-12,2024,12,congestion_surcharge,double
2025-01,2025,1,VendorID,int32
2025-01,2025,1,lpep_pickup_datetime,timestamp[us]
2025-01,2025,1,lpep_dropoff_datetime,timestamp[us]
2025-01,2025,1,store_and_fwd_flag,large_string
2025-01,2025,1,RatecodeID,int64
2025-01,2025,1,PULocationID,int32
2025-01,2025,1,DOLocationID,int32
2025-01,2025,1,passenger_count,int64
2025-01,2025,1,trip_distance,double
2025-01,2025,1,fare_amount,double
2025-01,2025,1,extra,double
2025-01,2025,1,mta_tax,double
2025-01,2025,1,tip_amount,double
2025-01,2025,1,tolls_amount,double
2025-01,2025,1,ehail_fee,double
2025-01,2025,1,improvement_surcharge,double
2025-01,2025,1,total_amount,double
2025-01,2025,1,payment_type,int64
2025-01,2025,1,trip_type,int64
2025-01,2025,1,congestion_surcharge,double
2025-01,2025,1,cbd_congestion_fee,double
2025-02,2025,2,VendorID,int32
2025-02,2025,2,lpep_pickup_datetime,timestamp[us]
2025-02,2025,2,lpep_dropoff_datetime,timestamp[us]
2025-02,2025,2,store_and_fwd_flag,large_string
2025-02,2025,2,RatecodeID,int64
2025-02,2025,2,PULocationID,int32
2025-02,2025,2,DOLocationID,int32
2025-02,2025,2,passenger_count,int64
2025-02,2025,2,trip_distance,double
2025-02,2025,2,fare_amount,double
2025-02,2025,2,extra,double
2025-02,2025,2,mta_tax,double
2025-02,2025,2,tip_amount,double
2025-02,2025,2,tolls_amount,double
2025-02,2025,2,ehail_fee,double
2025-02,2025,2,improvement_surcharge,double
2025-02,2025,2,total_amount,double
2025-02,2025,2,payment_type,int64
2025-02,2025,2,trip_type,int64
2025-02,2025,2,congestion_surcharge,double
2025-02,2025,2,cbd_congestion_fee,double
2025-03,2025,3,VendorID,int32
2025-03,2025,3,lpep_pickup_datetime,timestamp[us]
2025-03,2025,3,lpep_dropoff_datetime,timestamp[us]
