column,period_count,first_period,last_period,dtypes,missing_period_count,present_in_all_periods
cbd_congestion_fee,16,2025-01,2026-04,double,12,False
DOLocationID,28,2024-01,2026-04,int32,0,True
PULocationID,28,2024-01,2026-04,int32,0,True
RatecodeID,28,2024-01,2026-04,int64,0,True
VendorID,28,2024-01,2026-04,int32,0,True
congestion_surcharge,28,2024-01,2026-04,double,0,True
ehail_fee,28,2024-01,2026-04,double,0,True
extra,28,2024-01,2026-04,double,0,True
fare_amount,28,2024-01,2026-04,double,0,True
improvement_surcharge,28,2024-01,2026-04,double,0,True
lpep_dropoff_datetime,28,2024-01,2026-04,timestamp[us],0,True
lpep_pickup_datetime,28,2024-01,2026-04,timestamp[us],0,True
mta_tax,28,2024-01,2026-04,double,0,True
passenger_count,28,2024-01,2026-04,int64,0,True
payment_type,28,2024-01,2026-04,int64,0,True
store_and_fwd_flag,28,2024-01,2026-04,large_string,0,True
tip_amount,28,2024-01,2026-04,double,0,True
tolls_amount,28,2024-01,2026-04,double,0,True
total_amount,28,2024-01,2026-04,double,0,True
trip_distance,28,2024-01,2026-04,double,0,True
trip_type,28,2024-01,2026-04,int64,0,True
