source_period,rows,pickup_min,pickup_max,dropoff_min,dropoff_max
2024-01,56551,2023-12-31 14:38:47,2024-01-31 23:57:29,2023-12-31 14:46:45,2024-02-01 19:17:30
2024-02,53577,2024-01-25 19:10:32,2024-02-29 23:56:40,2024-01-25 19:25:11,2024-03-01 19:56:23
2024-03,57457,2008-12-31 23:02:24,2024-04-01 00:01:45,2008-12-31 23:02:30,2024-04-01 16:11:00
2024-04,56471,2024-03-31 22:34:23,2024-04-30 23:59:33,2024-03-31 22:45:33,2024-05-01 23:35:25
2024-05,61003,2009-01-01 00:27:54,2024-06-01 00:00:56,2009-01-01 00:32:44,2024-06-01 21:12:50
2024-06,54748,2024-05-24 17:04:38,2024-06-30 23:57:10,2024-05-24 17:18:40,2024-07-01 19:48:38
2024-07,51837,2024-06-30 23:55:13,2024-08-01 23:43:58,2024-07-01 00:12:56,2024-08-01 23:52:36
2024-08,51771,2024-07-25 22:29:43,2024-09-01 20:26:14,2024-07-25 22:56:07,2024-09-01 22:36:59
2024-09,54440,2008-12-31 00:00:00,2024-10-01 23:42:50,2008-12-31 00:00:00,2024-10-01 23:48:50
2024-10,56147,2024-09-26 01:59:36,2024-11-01 23:06:08,2024-09-26 01:59:57,2024-11-01 23:17:09
2024-11,52222,2024-10-26 01:18:56,2024-12-01 22:15:57,2024-10-26 01:19:03,2024-12-01 22:29:11
2024-12,53994,2008-12-31 23:08:01,2025-01-01 22:21:15,2009-01-01 00:07:45,2025-01-01 22:41:59
2025-01,48326,2024-12-25 23:13:15,2025-02-05 18:46:24,2024-12-25 23:13:17,2025-02-05 19:11:47
2025-02,46621,2025-01-31 22:34:50,2025-03-01 23:29:24,2025-01-31 22:35:26,2025-03-01 23:36:36
2025-03,51539,2025-02-25 18:10:10,2025-04-01 23:41:29,2025-02-25 18:12:33,2025-04-01 23:41:50
2025-04,52132,2025-03-25 22:50:59,2025-05-01 22:59:12,2025-03-25 22:58:02,2025-05-01 23:10:01
2025-05,55399,2025-04-29 21:06:34,2025-06-01 06:57:21,2025-04-29 21:33:48,2025-06-01 15:15:35
2025-06,49390,2025-05-29 19:20:43,2025-07-01 20:35:08,2025-05-29 19:42:35,2025-07-01 21:11:08
2025-07,48205,2025-06-24 21:06:31,2025-08-01 14:11:22,2025-06-24 21:29:37,2025-08-01 21:12:54
2025-08,46306,2025-07-26 17:19:43,2025-09-01 20:46:57,2025-07-26 17:19:45,2025-09-01 21:03:29
2025-09,48893,2025-08-25 16:23:11,2025-10-01 20:08:10,2025-08-25 16:53:02,2025-10-01 20:15:31
2025-10,49416,2025-09-24 22:46:18,2025-11-01 21:49:41,2025-09-24 23:38:39,2025-11-01 21:54:36
2025-11,46912,2025-10-26 20:23:16,2025-12-01 20:29:00,2025-10-26 20:31:18,2025-12-01 20:44:42
2025-12,48236,2008-12-31 15:13:04,2026-01-01 21:09:39,2008-12-31 17:25:57,2026-01-01 21:49:52
2026-01,40272,2025-12-27 16:49:41,2026-02-01 21:08:36,2025-12-27 17:02:11,2026-02-01 21:15:02
2026-02,37373,2026-01-26 23:38:06,2026-03-01 09:48:53,2026-01-26 23:53:46,2026-03-01 21:20:11
2026-03,44208,2009-01-01 01:35:31,2026-03-31 23:57:29,2009-01-01 10:21:01,2026-04-01 20:22:06
2026-04,44238,2026-03-31 23:28:50,2026-05-01 07:53:18,2026-04-01 00:15:53,2026-05-02 07:07:21
